ID,Name,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
1104,Medal of Honor: Rising Sun,65,23,5.8,28,EA LA,T
1105,Army of Two,74,43,7.3,118,EA Montreal,M
1106,Spore,84,75,5.3,1711,Maxis,E10+
1107,Mario vs. Donkey Kong,81,43,8,31,Nintendo,E
1108,LEGO Star Wars III: The Clone Wars,76,36,7.3,34,Traveller's Tales,E10+
1109,Midnight Club 3: DUB Edition Remix,85,19,8.9,53,Rockstar San Diego,E10+
1110,Tom Clancy's Ghost Recon: Jungle Storm,70,31,6.3,24,Red Storm Entertainment,T
1111,Bushido Blade,83,13,7.9,16,Light Weight,T
1112,Mirror's Edge,79,82,7.6,328,EA DICE,T
1113,Sonic the Hedgehog,43,17,4.1,176,Sonic Team,E10+
1114,NASCAR Thunder 2002,85,17,8.5,22,EA Sports,E
1115,Your Shape: Fitness Evolved 2012,77,13,7.6,21,Ubisoft,E
1116,FIFA 14,88,22,5.8,328,EA Canada,E
1117,Final Fantasy Tactics: The War of the Lions,88,41,8,238,TOSE,T
1118,Sniper: Ghost Warrior,45,39,5.8,89,City Interactive,M
1119,Sonic Rush Adventure,78,32,8.2,66,Dimps Corporation,E
1120,Worldwide Soccer Manager 2009,83,29,8.1,30,Sports Interactive,E
1121,Gauntlet: Dark Legacy,73,15,8.3,30,Midway,T
1122,Medal of Honor Heroes 2,69,20,7.3,30,EA LA,T
1123,Bad Boys: Miami Takedown,43,5,3.4,13,Blitz Games,M
1124,Medal of Honor: Warfighter,53,43,5.4,437,Danger Close,M
1125,FIFA Soccer 10,83,9,7.9,14,EA Sports,E
1126,Donkey Konga,76,55,8.3,21,Namco,E
1127,Call of Duty 4: Modern Warfare,92,40,8.5,2360,Infinity Ward,M
1128,Tak and the Power of Juju,68,28,9,28,Avalanche Software,E
1129,WWE 2K15,62,44,5.1,164,Yuke's,T
1130,Tenchu: Wrath of Heaven,79,33,8.4,38,K2 LLC,M
1131,Shadow of the Colossus,91,77,9.1,933,SCE Japan Studio,T
1132,Brave Fencer Musashi,81,12,8.5,17,SquareSoft,E
1133,Ninja Gaiden Sigma,88,46,7.5,155,Team Ninja,M
1134,WWE 2K14,74,22,7.5,121,Yuke's,T
1135,Pokemon Rumble Blast,56,36,7.1,50,Ambrella,E10+
1136,007: Quantum of Solace,65,42,6.6,47,Treyarch,T
1137,Dance Dance Revolution Extreme 2,76,27,9,21,Konami Computer Entertainment Hawaii,E10+
1138,The Lord of the Rings: The Return of the King,84,31,9.1,31,EA Games,T
1139,Hot Shots Golf: Out of Bounds,81,66,8.8,32,Clap Hanz,E
1140,Sunset Overdrive,81,89,7.7,1137,Insomniac Games,M
1141,Mobile Suit Gundam: Federation vs. Zeon,73,15,8.8,32,Capcom,T
1142,Naruto Shippuden: Ultimate Ninja Storm 4,79,60,8.2,201,CyberConnect2,T
1143,MechAssault,87,32,8,47,Day 1 Studios,T
1144,Cars,50,8,4.7,6,Helixe,E
1145,Watch Dogs 2,83,88,7.8,621,Ubisoft Montreal,M
1146,LEGO Star Wars III: The Clone Wars,67,25,6.1,31,Traveller's Tales,E10+
1147,Tom Clancy's Rainbow Six 3: Black Arrow,84,55,8.6,14,Ubisoft Montreal,M
1148,Mirror's Edge,79,66,7.8,362,EA DICE,T
1149,Guitar Hero 5,85,69,6.8,108,Neversoft Entertainment,T
1150,Alien: Isolation,79,50,8.1,795,Creative Assembly,M
1151,Fantasy Life,73,51,8.6,209,"Level 5, Brownie Brown",E10+
1152,SingStar,82,48,5.9,15,SCEE London Studio,T
1153,The Legend of Zelda: Tri Force Heroes,73,73,7.6,179,Nintendo,E
1154,Supercar Street Challenge,57,15,7.6,9,Exakt,E
1155,Rabbids Go Home,78,50,8.3,32,Ubisoft Montpellier,E10+
1156,ModNation Racers,82,85,8.4,201,United Front Games,E
1157,SOCOM: U.S. Navy SEALs Fireteam Bravo,82,44,8.6,63,Zipper Interactive,M
1158,Rocksmith,80,27,8.3,52,Ubisoft,T
1159,Call Of Duty 2: Big Red One,78,46,5.1,27,Treyarch,T
1160,Rocksmith,77,30,8.2,62,Ubisoft,T
1161,Guitar Hero 5,71,4,2.6,10,BudCat,T
1162,Worldwide Soccer Manager 2008,86,15,8,19,Sports Interactive,E
1163,Yakuza 3,79,77,8.1,165,Ryu ga Gotoku Studios,M
1164,Persona 4: Golden,93,61,9.2,1228,Atlus,M
1165,Spider-Man 2,83,60,8.3,40,Treyarch,T
1166,Crackdown 2,70,91,6,202,Ruffian Games,M
1167,The Beatles: Rock Band,88,60,8.7,59,Harmonix Music Systems,T
1168,Dragon Age II,79,75,4.5,2380,BioWare,M
1169,Counter-Strike,74,38,7.6,51,Valve Software,M
1170,Guitar Hero Encore: Rocks The 80s,69,50,6.3,31,Harmonix Music Systems,T
1171,Fight Night Champion,84,52,7.3,95,EA Canada,M
1172,Tom Clancy's Splinter Cell: Chaos Theory,94,70,9,160,Ubisoft Montreal,M
1173,Pikmin 3,87,79,8.7,664,Nintendo,E10+
1174,WWE 2K14,75,43,7.7,100,Yuke's,T
1175,Dragon Ball: XenoVerse,69,50,7.7,598,Dimps Corporation,T
1176,Castlevania: Lords of Shadow,85,62,8,468,Mercury Steam,M
1177,Plants vs. Zombies,81,23,7.4,29,TOSE,E10+
1178,Tales of Symphonia,86,60,8.5,176,Namco,T
1179,LEGO City Undercover,80,66,8.2,283,TT Games,E10+
1180,Need for Speed: ProStreet,61,16,6.9,14,EA Games,E10+
1181,GRID,87,39,8.1,109,Codemasters,E
1182,Medal of Honor: Airborne,73,54,6.7,77,Electronic Arts,T
1183,Star Ocean: The Second Story,80,13,8.5,44,Tri-Ace,E
1184,NCAA Football 14,77,18,5.8,74,EA Tiburon,E
1185,Yakuza 2,77,34,8.1,52,Amusement Vision,M
1186,Guitar Hero 5,86,54,5.7,87,Neversoft Entertainment,T
1187,Dragon Ball Z: The Legacy of Goku II,75,21,8.9,39,Webfoot Technologies,E
1188,NERF N-Strike,66,13,4.4,7,"EA Redwood Shores, EA Salt Lake",E10+
1189,NFL 2K1,97,22,6,47,Visual Concepts,E
1190,Untold Legends: Brotherhood of the Blade,68,51,7.6,58,Sony Online Entertainment,T
1191,Project CARS,83,37,6.6,363,Slightly Mad Studios,E
1192,Madden NFL 2004,92,27,8.3,48,EA Tiburon,E
1193,Sonic and the Black Knight,54,51,6.9,198,Sonic Team,E10+
1194,The Godfather,75,56,8.3,99,Electronic Arts,M
1195,Sonic Free Riders,47,52,2.1,98,Sega,E
1196,Star Wars: Bounty Hunter,65,32,8.3,33,LucasArts,T
1197,WWE SmackDown vs. Raw 2011,74,42,6.9,41,Yuke's,T
1198,NCAA Football 13,76,20,5.5,65,EA Tiburon,E
1199,Skate 2,84,70,8,72,EA Black Box,T
1200,NASCAR Thunder 2004,88,15,8.9,77,EA Tiburon,E
1201,Namco Museum Battle Collection,73,28,7.2,9,TOSE,E10+
1202,Empire: Total War,90,62,6.9,2981,Creative Assembly,T
1203,Virtua Fighter 5,85,47,7.4,67,Sega AM2,T
1204,Dante's Inferno,75,69,7.5,265,Visceral Games,M
1205,Tom Clancy's Ghost Recon 2,58,21,6,19,Ubisoft Shanghai/Paris,T
1206,Forza Horizon 3,91,90,7.4,594,Playground Games,E
1207,Star Wars: The Force Unleashed,70,10,8.1,49,Krome Studios,T
1208,Dragon Ball Z: Taiketsu,40,23,6.1,22,Webfoot Technologies,T
1209,Star Fox: Assault,67,59,8.1,106,Namco,T
1210,Plants vs. Zombies: Garden Warfare,69,6,7.3,121,PopCap,E10+
1211,The Simpsons Game,59,7,6.7,15,"Electronic Arts, Rebellion",T
1212,LEGO Star Wars II: The Original Trilogy,47,9,5,38,Amaze Entertainment,E
1213,Call of Duty 3,82,14,7.4,83,Treyarch,T
1214,FIFA Soccer 11,73,17,7.3,8,EA Sports,E
1215,Prince of Persia,85,59,7.3,245,Ubisoft Montreal,T
1216,Tomb Raider: Underworld,76,57,6.6,198,Crystal Dynamics,T
1217,Pro Evolution Soccer 2008,76,29,7.8,36,Konami,E
1218,SoulCalibur III,86,57,8.4,96,Namco,T
1219,Tiger Woods PGA Tour 10,88,44,8.8,57,EA Tiburon,E
1220,World Tour Soccer,70,31,5.6,5,SCEE,E
1221,Naruto: Ultimate Ninja Storm,75,32,8.6,95,CyberConnect2,T
1222,Lightning Returns: Final Fantasy XIII,66,62,5.9,552,Square Enix,T
1223,Mortal Kombat: Armageddon,75,43,8.5,84,Midway,M
1224,Freekstyle,81,25,7.3,14,Page 44 Studios,E
1225,Grand Theft Auto: Chinatown Wars,90,77,7.3,146,Rockstar Leeds,M
1226,Spore Creatures,65,20,6.5,21,Griptonite Games,E
1227,The Orange Box,89,21,8.4,188,EA Games,M
1228,DJ Hero,84,72,8,42,FreeStyleGames,T
1229,Bully: Scholarship Edition,80,56,8.3,154,"Mad Doc Software, Rockstar Vancouver",T
1230,NBA Street V3,89,36,8.7,37,EA Canada,E
1231,Hulk,71,28,8.3,22,Radical Entertainment,T
1232,Overwatch,91,18,5.6,668,Blizzard Entertainment,T
1233,Aliens vs Predator,64,64,7.3,247,Rebellion,M
1234,Skylanders Giants,77,21,6.3,18,Toys for Bob,E10+
1235,Diablo II: Lord of Destruction,87,21,9.1,639,Blizzard North,M
1236,Endless Ocean,72,42,8.1,61,Arika,E
1237,Spider-Man 2,65,12,7.7,6,Digital Eclipse,E
1238,Seek and Destroy,63,9,8.8,10,Barnhouse Effect,T
1239,Darksiders,83,81,7.9,292,Vigil Games,M
1240,Mercenaries 2: World in Flames,72,69,7.2,152,Pandemic Studios,T
1241,Warhawk,84,50,8.4,183,Incognito Inc.,T
1242,DiRT 3,87,52,7.1,122,Codemasters,T
1243,Sega Superstars Tennis,71,24,7,16,Sumo Digital,E10+
1244,DiRT,83,32,8,32,Codemasters,E
1245,Call of Duty 4: Modern Warfare,75,22,6.9,36,n-Space,T
1246,Resident Evil: The Darkside Chronicles,75,55,8,60,Cavia Inc.,M
1247,SOCOM: U.S. Navy SEALs Fireteam Bravo 2,81,31,9,36,Zipper Interactive,T
1248,NBA 2K3,89,21,8,22,Visual Concepts,E
1249,LEGO The Lord of the Rings,82,16,8.3,85,TT Games,E10+
1250,The Simpsons: Road Rage,61,17,8.3,6,Fox Interactive,T
1251,Dave Mirra Freestyle BMX,82,14,8.4,5,"Z-Axis, Ltd.",E
1252,EA Sports UFC,70,57,6.1,279,EA Sports,T
1253,Forza Motorsport,92,73,7.6,213,Microsoft Game Studios,E
1254,Virtua Tennis 3,80,35,7.9,32,Sega AM3,E
1255,MVP Baseball 2003,81,22,8.9,17,EA Sports,E
1256,WWE SmackDown vs. Raw 2010,80,59,8.4,36,Yuke's,T
1257,Sleeping Dogs,83,40,7.7,645,United Front Games,M
1258,Naruto: Clash of Ninja 2,74,22,8.9,39,8ing/Raizing,T
1259,Dance Dance Revolution SuperNOVA,73,25,8.7,6,Konami,E10+
1260,Aliens vs Predator,65,57,7.3,168,Rebellion,M
1261,F-Zero: Maximum Velocity,86,19,8.5,22,Nd Cube,E
1262,Sonic the Hedgehog,46,38,4.4,455,Sega,E10+
1263,Need for Speed: Most Wanted,83,32,8.8,29,EA Canada,T
1264,The Simpsons Game,71,52,7.7,71,"Electronic Arts, EA Redwood Shores",T
1265,F1 2012,81,23,7.5,54,Codemasters,E
1266,Brink,68,85,5.8,404,Splash Damage,T
1267,MX vs. ATV Unleashed,79,30,8.4,17,Rainbow Studios,E
1268,WipEout Pure,88,56,7.9,102,Studio Liverpool,E
1269,UFC Undisputed 3,86,30,7.4,92,Yuke's,T
1270,LEGO Pirates of the Caribbean: The Video Game,73,54,7,31,Traveller's Tales,E10+
1271,Tom Clancy's Ghost Recon Advanced Warfighter 2,84,29,8.1,41,"Red Storm Entertainment, Ubisoft Paris",T
1272,Super Princess Peach,75,48,7.6,33,TOSE,E
1273,Guinness World Records: The Videogame,67,12,7,8,TT Fusion,E10+
1274,NCAA March Madness 2004,82,16,8.8,12,NuFX,E
1275,The Legend of Zelda: Twilight Princess HD,86,74,8.4,329,"Tantalus Interactive, Tantatus, Nintendo",T
1276,LEGO Indiana Jones: The Original Adventures,77,36,7.7,30,Traveller's Tales,E10+
1277,Tomb Raider,86,18,8.5,3552,"Crystal Dynamics, Nixxes Software",M
1278,Street Fighter Alpha 3,93,12,8.5,46,Capcom,T
1279,MySims Agents,78,28,8.6,28,Electronic Arts,E
1280,MotorStorm: Arctic Edge,79,58,8.8,39,Bigbig Studios,T
1281,FIFA Soccer 08,65,13,6.1,26,EA Canada,E
1282,Tiger Woods PGA Tour 08,72,24,7,22,EA Salt Lake,E
1283,Dragon Ball Z: Budokai Tenkaichi 3,72,27,8.4,61,"Spike, Namco Bandai Games",T
1284,Shrek 2,70,25,6.4,14,"Luxoflux, Inc.",E
1285,NBA 2K17,90,17,6.2,91,Visual Concepts,E
1286,Tom Clancy's Ghost Recon Advanced Warfighter 2,86,58,8.1,89,"Red Storm Entertainment, Ubisoft Paris",T
1287,Sonic Unleashed,54,24,7.9,130,Sonic Team,E10+
1288,Disney Universe,61,11,6,5,Eurocom Entertainment Software,E10+
1289,Dance on Broadway,48,6,3.3,4,Longtail Studios,E10+
1290,LEGO Indiana Jones 2: The Adventure Continues,71,41,7.4,25,Traveller's Tales,E10+
1291,Bulletstorm,84,83,7.6,439,"Epic Games, People Can Fly",M
1292,Skylanders SWAP Force,83,31,5.3,33,Vicarious Visions,E10+
1293,Madden NFL 07,83,27,8.7,6,EA Tiburon,E
1294,Sonic Generations,66,29,6.9,108,"Sega, Dimps Corporation",E
1295,Rock Band 2,92,10,7.7,45,Harmonix Music Systems,T
1296,Harry Potter and the Prisoner of Azkaban,70,29,8.7,29,EA Games,E
1297,Pokemon Conquest,80,40,8.2,89,Koei,E
1298,Wall-E,51,18,3.6,8,Heavy Iron Studios,E
1299,Naruto: Clash of Ninja Revolution,74,23,8,27,8ing/Raizing,T
1300,Ace Combat 6: Fires of Liberation,80,54,7.9,101,Project Aces,T
1301,The Simpsons Game,64,19,6.1,38,"Electronic Arts, Rebellion",T
1302,Ninja Gaiden II,81,74,8,302,"Team Ninja, Tecmo",M
1303,Assassin's Creed: Rogue,72,32,7.3,318,Ubisoft,M
1304,Rayman Legends,90,16,8.5,525,Ubisoft Montpellier,E10+
1305,Prince of Persia,81,73,7,189,Ubisoft Montreal,T
1306,ZombiU,77,70,7.7,758,Ubisoft Montpellier,M
1307,Pokken Tournament,76,74,8,273,Bandai Namco Games,E10+
1308,Ford Racing 2,51,5,8,8,Razorworks Studios,E
1309,NERF N-Strike Elite,67,12,4.5,6,EA Salt Lake,E10+
1310,God of War: Ghost of Sparta,86,73,8.4,255,Ready at Dawn,M
1311,SoulCalibur II,92,39,8.9,54,Namco,T
1312,Dynasty Warriors 3: Xtreme Legends,72,16,9.3,54,Omega Force,T
1313,Rayman Origins,87,43,8.4,238,UBlart Montpellier,E10+
1314,NFL Fever 2002,79,24,8.5,10,Microsoft Game Studios,E
1315,Just Dance 2014,79,16,7.8,33,Ubisoft,E10+
1316,NCAA Football 12,82,25,6.6,49,EA Sports,E
1317,UFC Undisputed 3,85,60,7.6,88,Yuke's,T
1318,Kirby: Mass Attack,83,46,8.6,55,HAL Labs,E
1319,Haze,55,65,6.5,294,Free Radical Design,M
1320,Oddworld: Abe's Exoddus,88,13,9.1,69,Oddworld Inhabitants,T
1321,The Bouncer,66,20,8,35,DreamFactory,T
1322,DiRT 2,87,63,8.2,94,Codemasters,T
1323,Guitar Hero: Aerosmith,70,39,5,26,Neversoft Entertainment,T
1324,Shadow The Hedgehog,51,22,6.6,120,Sonic Team,E10+
1325,EyePet,70,35,8.2,20,SCEE London Studio,E
1326,Apollo Justice: Ace Attorney,78,48,8.1,84,Capcom,T
1327,Ace Combat X: Skies of Deception,75,26,8.3,30,Project Aces,T
1328,Dark Souls,89,66,8.4,1106,From Software,M
1329,Midnight Club: LA Remix,79,26,8.7,43,Rockstar London,T
1330,Pro Evolution Soccer 2008,80,17,6.8,11,Konami,E
1331,FIFA Soccer 10,75,21,6.2,17,EA Sports,E
1332,Tales of Graces f,77,55,8.2,336,Namco Bandai Games,T
1333,Fallout 3,91,48,7.9,3450,Bethesda Game Studios,M
1334,Mario Party Advance,54,27,5.4,34,Hudson,E
1335,Zoo Tycoon DS,44,19,6.6,25,Altron,E
1336,WWE SmackDown vs Raw 2008,59,13,5.9,18,Yuke's,T
1337,Dead Space 3,78,68,6.4,694,Visceral Games,M
1338,Tom Clancy's Splinter Cell: Blacklist,82,58,7.5,383,Ubisoft Toronto,M
1339,NBA 2K10,82,46,7.6,34,Visual Concepts,E
1340,NCAA Football 06,87,38,8.3,27,EA Sports,E
1341,Grand Theft Auto: San Andreas,93,47,8.9,1841,Rockstar North,M
1342,Madden NFL 08,81,31,5.3,33,EA Tiburon,E
1343,Fire Emblem,88,31,9.2,144,Intelligent Systems,E
1344,Brutal Legend,82,88,8,268,Double Fine Productions,M
1345,Disney Infinity,75,21,5.9,47,Avalanche Software,E10+
1346,NHL 2004,85,19,7.6,53,EA Sports,E
1347,Grand Theft Auto: Vice City Stories,75,37,7.9,67,Rockstar Leeds,M
1348,FIFA Soccer 2005,81,34,8.7,23,EA Canada,E
1349,Mass Effect 3,89,23,5.5,5926,BioWare,M
1350,Cars,54,17,2.1,11,Helixe,E
1351,Band Hero,79,20,6.6,15,Vicarious Visions,E10+
1352,Skylanders: Spyro's Adventure,78,35,5.2,53,Toys for Bob,E10+
1353,LEGO Star Wars II: The Original Trilogy,84,25,9.1,16,Traveller's Tales,E10+
1354,Medal of Honor: Underground,86,16,9,44,Dreamworks Interactive,T
1355,Dark Cloud 2,87,41,9.1,174,Level 5,T
1356,Far Cry 3,88,43,8.2,3183,Ubisoft Montreal,M
1357,Evolve,76,46,4.3,894,Turtle Rock Studios,M
1358,Dead Space 3,76,37,6.4,522,Visceral Games,M
1359,NHL 2001,85,22,8.1,9,EA Sports,E
1360,Farming Simulator 2013,65,12,7.5,111,Giants Software,E
1361,Guitar Hero: Warriors of Rock,77,26,7.5,17,"Vicarious Visions, Neversoft Entertainment",T
1362,de Blob,82,48,8.6,73,Blue Tongue Entertainment,E
1363,Shinobi,71,33,7.9,43,Overworks,M
1364,Mortal Kombat: Deadly Alliance,81,27,8.4,24,Midway,M
1365,The Witcher 2: Assassins of Kings,88,76,8.5,4378,CD Projekt Red Studio,M
1366,Sniper Elite V2,70,21,6.9,92,Rebellion,M
1367,ESPN NBA 2K5,85,28,8.7,22,Visual Concepts,E
1368,Gangs of London,52,47,6.7,18,SCEE London Studio,M
1369,Mario Tennis Open,69,58,6.9,110,Camelot Software Planning,E
1370,PilotWings Resort,71,64,7.4,88,Monster Games Inc.,E
1371,World Championship Poker,60,8,7.7,11,Coresoft,E
1372,My Weight Loss Coach,63,4,7.6,7,Ubisoft Montreal,E
1373,Tom Clancy's Splinter Cell: Chaos Theory,87,29,8.6,53,Ubisoft Montreal,M
1374,Sonic Unleashed,60,50,7.8,238,Sonic Team,E10+
1375,SpongeBob SquarePants: Battle for Bikini Bottom,71,10,8.6,34,Heavy Iron Studios,E
1376,PlayStation All-Stars Battle Royale,74,69,7.3,540,SuperBot Entertainment,T
1377,Pro Evolution Soccer 2014,78,39,4.1,303,Konami,E
1378,Tom Clancy's Ghost Recon: Future Soldier,79,18,6.9,156,Ubisoft Paris,M
1379,Kessen,75,20,8.4,12,Koei,T
1380,Driver: San Francisco,79,53,7.7,114,Ubisoft Reflections,T
1381,Army of Two: The 40th Day,73,79,7.3,126,EA Montreal,M
1382,Lost Planet 2,68,56,6.9,62,Capcom,T
1383,LEGO Pirates of the Caribbean: The Video Game,73,42,7.1,34,Traveller's Tales,E10+
1384,Killzone,70,67,7.4,254,Guerrilla,M
1385,The SpongeBob SquarePants Movie,73,9,7.8,13,Heavy Iron Studios,E
1386,Star Fox 64 3D,81,65,8.2,231,Nintendo,E10+
1387,Castlevania: Lament of Innocence,79,45,8.4,74,KCET,M
1388,Tom Clancy's Splinter Cell: Blacklist,84,27,7.7,314,Ubisoft Toronto,M
1389,Skylanders: Spyro's Adventure,77,18,4.8,42,Toys for Bob,E10+
1390,Phantasy Star Portable,64,38,7.8,19,Alfa System,T
1391,WWE SmackDown vs. Raw 2009,78,37,7,49,Yuke's,T
1392,NCAA Football 10,83,26,6.7,37,EA Tiburon,E
1393,Brutal Legend,83,61,7.6,162,Double Fine Productions,M
1394,Tony Hawk: RIDE,47,15,4.5,21,Buzz Monkey,E10+
1395,Bully,87,69,9.1,293,Rockstar Vancouver,T
1396,Prince of Persia: The Sands of Time,92,41,7.8,72,Ubisoft,T
1397,MLB 06: The Show,83,30,8.9,31,SCEA San Diego Studios,E
1398,NHL 2003,79,20,6.8,18,EA Sports,E
1399,Naruto Shippuden: Ultimate Ninja Storm 3,77,32,7.9,187,CyberConnect2,T
1400,EA Sports UFC 2,79,38,6.2,157,EA Sports,T
1401,The Sims 2,70,13,6.1,24,Griptonite Games,E10+
1402,Tony Hawk's Pro Skater 4,90,25,8.5,21,Neversoft Entertainment,T
1403,Dragon Age: Inquisition,85,28,6.9,703,BioWare,M
1404,White Knight Chronicles: International Edition,64,77,7.5,213,Level 5,T
1405,SingStar Abba,70,26,5.5,4,SCEE London Studio,T
1406,Kirby: Planet Robobot,81,71,8.7,87,HAL Labs,E
1407,Guitar Hero: Metallica,85,20,8.6,17,Neversoft Entertainment,T
1408,Teenage Mutant Ninja Turtles,71,16,8.8,8,Konami,E
1409,Bayonetta,90,86,8,597,PlatinumGames,M
1410,MLB 07: The Show,83,25,8.6,19,SCEA,E
1411,Cars,71,21,7,5,Rainbow Studios,E
1412,Build-A-Bear Workshop,61,11,4.8,5,Neko Entertainment,E
1413,Kingdom Hearts Re:coded,66,58,7,76,"Square Enix, h.a.n.d. Inc.",E10+
1414,Operation Flashpoint: Dragon Rising,77,47,7.8,112,Codemasters,M
1415,Lego Batman 3: Beyond Gotham,73,43,7.1,75,TT Games,E10+
1416,Wipeout: In The Zone,39,5,5.6,8,Activision,E10+
1417,Brothers in Arms: Hell's Highway,76,48,8,70,Gearbox Software,M
1418,The LEGO Movie Videogame,80,5,6.8,12,TT Games,E10+
1419,Assassin's Creed III,80,21,6.2,1489,Ubisoft,M
1420,Borderlands 2,89,38,8.2,2482,Gearbox Software,M
1421,Teenage Mutant Ninja Turtles,59,29,8.7,31,KCE Studios,E
1422,Disney Magical World,71,27,7.5,21,h.a.n.d. Inc.,E
1423,Top Gun: Combat Zones,63,17,3.3,9,Titus Software,E
1424,NCAA Football 11,86,29,7.1,70,EA Tiburon,E
1425,007: The World is not Enough,61,11,6.7,44,Black Ops Entertainment,T
1426,Phoenix Wright: Ace Attorney,81,53,9.2,203,Capcom,T
1427,MLB 15: The Show,80,44,7.8,190,SCEA San Diego Studios,E
1428,South Park: The Stick of Truth,85,31,8.5,575,Obsidian Entertainment,M
1429,South Park: The Stick of Truth,82,33,8.4,363,Obsidian Entertainment,M
1430,MLB 12: The Show,87,23,7.5,75,SCEA San Diego Studios,E
1431,SpongeBob SquarePants: The Yellow Avenger,48,9,6.4,13,Tantalus Interactive,E
1432,Dante's Inferno,73,71,7.7,224,Visceral Games,M
1433,Wii Play: Motion,60,34,6.1,16,Nintendo,E10+
1434,WWE SmackDown vs. Raw 2009,79,47,7.1,34,Yuke's,T
1435,Sonic Riders,59,32,8,46,Sonic Team,E
1436,Blue Dragon,79,56,7.8,161,"Mistwalker, Artoon",T
1437,Harvest Moon 3D: A New Beginning,74,21,8.2,62,Marvelous AQL,E
1438,Kung Fu Panda,70,20,6.7,7,Xpec,E10+
1439,EA Sports Active 2,78,20,5.4,14,EA Canada,E
1440,Knockout Kings 2002,76,23,8.1,12,Electronic Arts,T
1441,Tom Clancy's EndWar,77,63,7.2,53,Ubisoft Shanghai,T
1442,Tokyo Xtreme Racer 3,63,15,8.9,23,Genki,E
1443,Xenoblade Chronicles,92,59,8.9,950,Monolith Soft,T
1444,Colin McRae Rally 2.0,90,13,8.7,31,Codemasters,E
1445,Dynasty Warriors 7,57,25,7.4,57,Omega Force,T
1446,NBA 2K14,86,15,5.7,183,Visual Concepts,E
1447,SSX,81,38,6.8,110,EA Canada,E
1448,Sonic Riders: Zero Gravity,56,26,8.1,57,Sonic Team,E
1449,Sonic Mega Collection Plus,75,20,7.9,12,Sonic Team,E
1450,Operation Flashpoint: Dragon Rising,76,42,6.5,53,Codemasters,M
1451,Tiger Woods PGA Tour 2002,80,23,7.6,5,EA Sports,E
1452,Lost Odyssey,78,68,8.3,432,Mistwalker,T
1453,Street Fighter V,77,80,3.4,1221,Capcom,T
1454,Just Cause 3,71,24,7,186,Avalanche Studios,M
1455,MLB 2005,78,36,7.6,9,989 Sports,E
1456,Marvel: Ultimate Alliance 2,73,75,7.3,82,Vicarious Visions,T
1457,Burnout Revenge,90,52,8.8,114,Criterion Games,E10+
1458,Crysis 3,76,45,6.7,344,Crytek,M
1459,The Witcher 2: Assassins of Kings,88,82,8.3,818,CD Projekt Red Studio,M
1460,Homefront,70,60,5.7,174,Kaos Studios,M
1461,LEGO Jurassic World,70,46,7,80,TT Games,E10+
1462,The Elder Scrolls Online,71,64,5.7,2421,ZeniMax Media,M
1463,Hot Shots Tennis,70,44,8.1,8,Clap Hanz,E
1464,MX vs. ATV Reflex,74,44,7.4,10,Rainbow Studios,E
1465,Madden NFL 25,74,13,5.2,118,EA Sports,E
1466,Sonic Heroes,73,28,7.6,34,Sonic Team,E
1467,Spider-Man 3,50,14,6.5,28,Vicarious Visions,T
1468,James Bond 007: Agent Under Fire,71,16,7.5,15,Electronic Arts,T
1469,LEGO Marvel Super Heroes,61,4,5.2,11,TT Games,E10+
1470,DJ Hero,86,53,7.8,49,FreeStyleGames,T
1471,X-Men Legends,82,63,8.5,14,Raven Software,T
1472,NBA Live 2005,85,28,7.6,14,EA Canada,E
1473,Harry Potter: Quidditch World Cup,68,21,6.6,27,Magic Pockets,E
1474,Blitz: The League,76,25,8,20,Midway,M
1475,Castlevania: Circle of the Moon,91,22,8.5,59,KCEK,T
1476,SOCOM 4: U.S. Navy SEALs,67,64,6.3,121,Zipper Interactive,M
1477,Tiger Woods PGA Tour 06,83,29,6.2,16,EA Sports,E
1478,FIFA Street,77,47,6.7,58,EA Sports,E
1479,Classic NES Series: The Legend of Zelda,84,16,8.6,58,Nintendo,E
1480,Fire Emblem: The Sacred Stones,85,38,9.1,132,Intelligent Systems,E
1481,Killzone: Liberation,77,56,8.3,80,Guerrilla,T
1482,Finding Nemo,62,11,5.5,8,Traveller's Tales,E
1483,Ace Combat 2,83,10,8.2,22,Namco,T
1484,NFL 2K2,85,16,7.5,6,Visual Concepts,E
1485,Pure,83,43,7.8,30,Black Rock Studio,E
1486,Resistance: Retribution,81,67,8.1,84,Sony Bend,M
1487,Call of Duty: World at War,75,12,7.8,20,n-Space,T
1488,Tiger Woods PGA Tour 12: The Masters,80,41,7.3,17,Electronic Arts,E
1489,FIFA Soccer 09 All-Play,80,18,8.4,22,EA Canada,E
1490,LEGO Indiana Jones 2: The Adventure Continues,70,25,7.1,16,Traveller's Tales,E10+
1491,Fossil Fighters,70,17,7.9,15,RED Entertainment,E
1492,NCAA Football 13,79,9,4.1,34,EA Tiburon,E
1493,Samba De Amigo,68,43,8.1,40,Gearbox Software,E
1494,The Simpsons Game,71,30,7.5,49,EA Redwood Shores,T
1495,Call of Duty: Modern Warfare 2,86,40,4.2,6430,Infinity Ward,M
1496,The Tomb Raider Trilogy,78,37,8.1,60,Crystal Dynamics,T
1497,F1 2010,84,43,7.5,65,Codemasters Birmingham,E
1498,Call of Juarez: Bound in Blood,78,47,7.8,91,Techland,M
1499,NBA 2K6,84,23,8.3,13,Visual Concepts,E
